lev1,lev2,lev3,lev4,lev5,index,Estimate,Percent Estimate
HISPANIC OR LATINO AND RACE,Total population,,,,DP05_0070,300865,300865
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),,,DP05_0071,40484,13.5
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Mexican,,DP05_0072,20532,6.8
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Puerto Rican,,DP05_0073,2895,1.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Cuban,,DP05_0074,764,0.3
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Other Hispanic or Latino,,DP05_0075,16293,5.4
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,,,DP05_0076,260381,86.5
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,White alone,,DP05_0077,126557,42.1
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Black or African American alone,,DP05_0078,110911,36.9
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,American Indian and Alaska Native alone,,DP05_0079,686,0.2
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Asian alone,,DP05_0080,14201,4.7
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone,,DP05_0081,138,0.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Some other race alone,,DP05_0082,679,0.2
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Two or more races,,DP05_0083,7209,2.4
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Two or more races,Two races including Some other race,DP05_0084,229,0.1
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,Two or more races,Two races excluding Some other race and Three or more races,DP05_0085,6980,2.3
